Sr.No,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
7503,Special Round 1,Motilal Nehru National Institute of Technology Allahabad,Biotechnology,Group 1,SC,201,167
7504,Special Round 1,National Institute of Technology Durgapur,Biotechnology,Group 1,OPEN,460,437
7505,Special Round 1,National Institute of Technology Durgapur,Biotechnology,Group 1,SC,172,166
7506,Special Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,OBC-NCL,330,308
7507,Special Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,OPEN,522,483
7508,Special Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Control System & Instrumentation,Group 1,OPEN,460,400
7509,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Environment),Group 1,OPEN,368,368
7510,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Environment),Group 1,SC,276,256
7511,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Geotechnical),Group 1,OPEN,354,354
7512,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Geotechnical),Group 1,SC,257,257
7513,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Geotechnical),Group 1,ST,263,263
7514,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Structures),Group 1,OBC-NCL,350,326
7515,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Structures),Group 1,OPEN,416,392
7516,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Structures),Group 1,SC,289,264
7517,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Transportation),Group 1,OPEN,391,356
7518,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Transportation),Group 1,SC,263,263
7519,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Transportation),Group 1,ST,273,273
7520,Special Round 1,National Institute of Technology Hamirpur,Civil Engineering (Water Resources),Group 1,OPEN,352,352
7521,Special Round 1,"National Institute of Technology, Warangal",Waste Management,Group 1,OBC-NCL,343,323
7522,Special Round 1,"National Institute of Technology, Warangal",Waste Management,Group 1,OPEN,392,361
7523,Special Round 1,"National Institute of Technology, Warangal",Waste Management,Group 1,SC,253,253
7524,Special Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,OBC-NCL,468,414
7525,Special Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,EWS,464,422
7526,Special Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,OPEN,536,489
7527,Special Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,SC,300,292
7528,Special Round 1,"National Institute of Technology, Kurukshetra",Nanomaterials and Nanotechnology,Group 1,OPEN,460,354
7529,Special Round 1,"National Institute of Technology, Rourkela",Control & Automation,Group 1,OBC-NCL,400,339
7530,Special Round 1,"National Institute of Technology, Rourkela",Control & Automation,Group 1,OPEN,432,417
7531,Special Round 1,"National Institute of Technology, Rourkela",Control & Automation,Group 1,SC,267,267
7532,Special Round 1,"Visvesvaraya National Institute of Technology, Nagpur",CAD-CAM,Group 1,OBC-NCL,374,327
7533,Special Round 1,"Visvesvaraya National Institute of Technology, Nagpur",CAD-CAM,Group 1,OPEN,488,416
7534,Special Round 1,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,OBC-NCL,646,632
7535,Special Round 1,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,EWS,687,678
7536,Special Round 1,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,OPEN,814,701
7537,Special Round 1,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,SC,496,496
7538,Special Round 1,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,ST,355,267
7539,Special Round 1,Malaviya National Institute of Technology Jaipur,Chemical Engineering,Group 2,OPEN,399,399
7540,Special Round 1,Malaviya National Institute of Technology Jaipur,Chemical Engineering,Group 2,SC,235,235
7541,Special Round 1,National Institute of Technology Calicut,Chemical Engineering,Group 1,OBC-NCL,340,340
7542,Special Round 1,"National Institute of Technology Karnataka, Surathkal",Chemical Engineering,Group 1,OBC-NCL,372,324
7543,Special Round 1,"National Institute of Technology Karnataka, Surathkal",Chemical Engineering,Group 2,OBC-NCL,323,323
7544,Special Round 1,"National Institute of Technology Karnataka, Surathkal",Chemical Engineering,Group 1,OPEN,377,372
7545,Special Round 1,"National Institute of Technical Teachers Training and Research, Chandigarh",Civil Engineering (Construction Technology),Group 1,OPEN,379,379
7546,Special Round 1,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Artificial Intelligence and Machine Learning,Group 1,OPEN,455,381
7547,Special Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,Group 1,OBC-NCL,372,372
7548,Special Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,Group 1,OPEN,429,385
7549,Special Round 1,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur",Artificial Intelligence and Machine Learning,Group 1,SC,324,324
7550,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Cyber Security,Group 1,OPEN,396,387
7551,Special Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Cyber Security,Group 1,SC,267,267
